country	country_code	year_week	new_cases	variant	percent_variant	variant_name	number_cases_ratio	population
Belgium	BE	2021-42	40000	B.1.617.2	97.4	delta	38960.0	11522440.0
Belgium	BE	2021-43	54823	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-43	54823	B.1.617.2	98.1	delta	53781.363	11522440.0
Belgium	BE	2021-44	57829	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-44	57829	B.1.617.2	98.6	delta	57019.394	11522440.0
Belgium	BE	2021-45	73690	B.1.1.529	0.0	omicron	0.0	11522440.0
Belgium	BE	2021-45	73690	B.1.617.2	96.6	delta	71184.54	11522440.0
Belgium	BE	2021-46	113029	B.1.1.529	0.2	omicron	226.058	11522440.0
Belgium	BE	2021-46	113029	B.1.617.2	96.8	delta	109412.072	11522440.0
Belgium	BE	2021-47	125774	B.1.1.529	0.2	omicron	251.548	11522440.0
Belgium	BE	2021-47	125774	B.1.617.2	96.4	delta	121246.13600000001	11522440.0
Belgium	BE	2021-48	117316	B.1.1.529	3.6	omicron	4223.376	11522440.0
Belgium	BE	2021-48	117316	B.1.617.2	92.4	delta	108399.98400000001	11522440.0
Belgium	BE	2021-49	88873	B.1.1.529	12.7	omicron	11286.871000000001	11522440.0
Belgium	BE	2021-49	88873	B.1.617.2	84.1	delta	74742.193	11522440.0
Belgium	BE	2021-50	57114	B.1.1.529	31.4	omicron	17933.796	11522440.0
Belgium	BE	2021-50	57114	B.1.617.2	64.6	delta	36895.64399999999	11522440.0
Belgium	BE	2021-51	45149	B.1.1.529	28.7	omicron	12957.762999999999	11522440.0
Belgium	BE	2021-51	45149	B.1.617.2	68.3	delta	30836.766999999996	11522440.0
Belgium	BE	2021-52	77857	B.1.1.529	50.8	omicron	39551.356	11522440.0
Belgium	BE	2021-52	77857	B.1.617.2	47.5	delta	36982.075	11522440.0
Belgium	BE	2021-20	16999	B.1.617.2	7.6	delta	1291.924	11522440.0
Belgium	BE	2021-21	12179	B.1.617.2	7.8	delta	949.962	11522440.0
Belgium	BE	2021-22	9065	B.1.617.2	10.9	delta	988.085	11522440.0
Belgium	BE	2021-23	5261	B.1.617.2	17.2	delta	904.8919999999999	11522440.0
Belgium	BE	2021-24	3006	B.1.617.2	33.0	delta	991.98	11522440.0
Belgium	BE	2021-25	2416	B.1.617.2	53.2	delta	1285.3120000000001	11522440.0
Belgium	BE	2021-26	4070	B.1.617.2	70.4	delta	2865.28	11522440.0
Belgium	BE	2021-27	7513	B.1.617.2	80.3	delta	6032.938999999999	11522440.0
Belgium	BE	2021-28	9541	B.1.617.2	91.0	delta	8682.31	11522440.0
Belgium	BE	2021-29	10388	B.1.617.2	93.7	delta	9733.556	11522440.0
